300
3759, -445676
2257, -260
1269, 448
750, 6909
2852, 4554
1084, 3724
3286, 4158
4787, 1666
2023, 256
531, 1717
1760, 3420
1254, 4069
3572, 3079
1586, 4180
719, 4553
4572, 2747
533, 4795
1950, -4920
527, 3081
1229, 2868
1031, 3752
3201, 612
2560, 3158
1555, 3548
115, 3858
1986, 2519
1419, 2740
1632, 90
1148, 1263
59, 1071
2270, 3026
4384, 1819
2192, 3873
3829, 1126
3661, 3867
4476, 2918
531, 1943
2824, 3479
1863, 1065
4050, 294
4451, 972
3977, 3914
3003, 2462
4216, 3707
4993, 406
234, 4053
670, -12250
6, 3077
2652, 766
425, -5644
2198, 4283
24, 1392
77, 4515
2698, 2153
113, 4345
3723, 1238
1965, 4124
4133, 626
926, 3187
2255, 2269
2995, 3575
3227, 3727
1694, 2566
3652, 917
4438, 4362
4853, 4709
3440, 1418
636, -16423
4225, 2053
3779, 1574
4733, -1180
2090, 1592
1637, 2520
3733, 2247
3679, 2242
1859, -3900
3884, 381
23, 368
2948, 4986
4174, 4062
2198, 2015
4349, 542
3361, 2671
813, 4776
1384, 217
27, 2427
4138, 4772
844, 3179
2388, 701
1634, 1572
3180, 4011
383, 2147
3588, 3187
3926, -473732
1451, 4882
4077, 1300
2146, 2891
1978, -1032
1799, 2354
1477, 1768
4473, 3456
2777, -26461
517, 1252
3644, 3724
1473, 2595
2669, 3145
1946, 4961
3963, 4637
2171, 2175
4568, 4983
2390, 1364
4998, 7463
576, 3064
3088, 3435
3234, 3486
2767, 3014
3187, 553
1152, 891
3107, 2209
1956, 1471
3121, 12902
2994, 3338
2793, 1386
4368, 725
3590, 337
2117, 2715
4707, 3253
4242, 4936
4363, 4322
335, 1318
1114, 17
2365, 762
807, 4750
3702, -111323
2867, 2071
2457, 235
2252, 1650
3837, 2707
545, 622
2954, 12100
2007, 4288
2689, 3013
4954, 4730
1227, 2306
4083, 2118
675, 4128
2861, 4292
714, 2613
1714, 1157
3724, 435
2687, 3711
3408, 398
2715, 1366
2006, 1914
4260, 504
809, 1051
851, 860
2458, 664
2972, 2188
1819, 2046
3790, 4065
3937, 4419
2215, -9095
344, 735
723, 1407
1823, 2472
4961, 3142
4653, 7005
2509, 2837
3541, 946
3017, 2051
3188, 181
2829, 6582
381, 3129
85, 960
1955, -281
2691, 4265
3261, 2636
2668, 754
3920, 541
7, 3182
449, 70
267, 4672
2597, 2595
683, 230
3297, 737
2042, 1375
4430, 1902
4003, 3707
4462, 3676
3636, 3734
3988, 2816
1487, -150484
2249, 2737
733, 3578
14, 3280
4952, 3129
223, 4799
3687, 465
526, 1229
4796, 1731
1999, 6929
2438, 4434
2741, 1182
4849, 3815
3178, 3026
3147, 973
619, 2936
3035, 114
2377, 37
4950, 4996
303, 198
1786, 1279
68, 1215
1032, -3316
2229, 1231
3767, 3273
2211, 1774
2111, 2082
1140, 3882
749, 2902
4291, 80
601, 1368
3736, 2023
1048, 288
2462, 192
2289, 4724
3714, 3960
2824, 2200
4254, 3355
3137, 1918
1488, 3972
1070, 4425
3551, 1660
1687, 6888
4628, 1654
4573, 269
3306, 4556
1, 3894
1667, 1413
2988, 4524
2671, 3557
423, 7480
4069, 2107
4535, 2052
418, 2707
2850, 3517
2654, 1609
4863, 4647
4438, 4612
2484, 4864
1895, 1956
221, 1964
2040, 4504
1150, 4525
1413, 795
4969, 1728
2417, 3572
3322, 3994
3186, 2366
1984, -6133
2156, 3531
2909, 345
4001, 561
3771, 3977
3528, 3560
332, 1796
693, 160
2759, 1464
3718, 1938
2352, 8608
1153, 4912
913, 2214
3404, 1575
1402, 907
3203, -71366
3025, 4181
327, 4960
97, 197118
4343, 1637
4319, 4088
122, 4348
3969, 4760
4367, 1073
3096, 4920
2147, 4016
3867, 4933
1486, -127
2614, 4020
2058, 989
4264, -1141
4009, 4996
1146, 2017
486, 3409
1106, 28
1676, 4892
2675, 1390
2946, 2043
1509, 4962
2757, 1459
