150
4994, 2707
959, 4846
1935, 3168
1938, 3450
2941, 3424
4252, 415
293, 3128
3337, 4301
1123, 4579
2786, 1683
3918, 1388
4411, 2292
2467, 3218
1230, 4404
4911, 3112
4953, 4688
1063, 2174
74, 1929
4456, 2456
2302, 195
4013, 4908
1265, 1321
4978, 854
3731, 4329
82, 2745
850, 2941
4324, 4217
2089, 3140
1217, 3777
999, 517
488, 2168
1636, 1625
4864, 3402
1061, 3547
2841, 3627
746, 1759
3737, 1917
3698, 4011
4713, 1694
3924, 3894
4160, 4963
1164, 2087
4093, 3840
1882, 4638
4940, 4150
107, 1097
3722, 1097
1009, 1600
1875, 4928
4199, 3066
1814, 2236
2322, 2614
4825, 2688
922, 3736
997, 3868
4683, 1532
3783, 972
4399, 372
2062, 4828
1806, 4988
2165, 1470
4523, 4107
2535, 4941
3714, 4897
2826, 3284
2318, 3548
1257, 3873
4017, 4103
78, 634
3840, 357
1290, 683
2057, 1932
2133, 1596
1557, 708
2411, 3558
3096, 1477
3869, 1563
2931, 4187
4682, 2148
4079, 3782
1694, 2600
4835, 2118
4305, 2398
1229, 1772
3278, 660
325, 4753
2006, 4211
2236, 843
1212, 4116
3969, 2502
2878, 882
4415, 4480
297, 2121
1889, 3130
1707, 4646
4033, 1932
725, 4053
4444, 4127
4548, 3322
2026, 4851
1025, 511
3822, 3447
2773, 4382
4491, 4009
4778, 3281
3637, 2620
1699, 2965
134, 4229
2148, 5
4602, 912
3512, 3288
4766, 3434
4056, 2353
4424, 2331
2443, 2586
962, 1900
1620, 3467
3439, 704
4920, 1747
2592, 806
4848, 2530
2979, 1314
543, 3381
2569, 1058
3111, 181
3094, 4542
1543, 2204
4607, 947
2212, 3924
3336, 4233
3602, 2117
4080, 4354
4538, 3793
4116, 4330
4561, 3152
3513, 1697
526, 3929
2298, 4134
2561, 3641
4169, 93
3262, 1598
1894, 3716
1587, 4100
3456, 1119
3375, 4827
1538, 2434
4584, 3537
76, 985
1574, 4279
3414, 3946
